Town,zipcode,population,SVI_overall_quartile,SVI_SES_quartile,priority_change
Medford,02155,84322,2,2,No Change
Dorchester Codman,02124,71852,4,4,No Change
Worcester,01604,71491,3,3,No Change
Malden,02148,65293,3,3,No Change
Lynn,01902,64594,4,4,No Change
Fenway,02215,64498,3,3,No Change
Brockton,02301,62929,4,4,No Change
New Bedford,02740,62712,4,4,No Change
Cambridge,02138,61836,2,2,No Change
Quincy,02169,60981,3,3,No Change
Lawrence,01841,60299,4,4,No Change
Pittsfield,01201,60128,3,3,No Change
Revere,02151,59479,4,3,Overall gives higher priority
Plymouth,02360,59331,2,2,No Change
Watertown,02472,57490,2,2,No Change
Taunton,02780,56963,3,3,No Change
Cambridge,02139,55969,2,2,No Change
Allston Brighton,02135,54669,3,3,No Change
Fenway,02115,54474,3,3,No Change
Jamaica Plain,02130,53755,3,3,No Change
Peabody,01960,52865,3,3,No Change
Dorchester Codman,02122,52407,3,3,No Change
Attleboro,02703,51377,3,3,No Change
Newton,02467,51089,2,1,Overall gives higher priority
Worcester,01610,50566,4,4,No Change
Methuen,01844,50019,3,3,No Change
Mattapan,02126,49817,4,4,No Change
Roslindale,02131,49743,3,3,No Change
Leominster,01453,49622,3,3,No Change
Everett,02149,49068,4,4,No Change
Westfield,01085,48728,3,3,No Change
Lowell,01854,48235,4,4,No Change
East Boston,02128,46927,4,4,No Change
Woburn,01801,46820,2,2,No Change
Roxbury,02119,46674,4,4,No Change
Fitchburg,01420,44927,4,4,No Change
Amherst,01002,44677,3,3,No Change
Hyde Park,02136,44462,4,3,Overall gives higher priority
Worcester,01606,44387,3,3,No Change
Framingham,01702,43758,3,3,No Change
Worcester,01609,43663,3,3,No Change
South Boston,02127,43489,2,2,No Change
West Roxbury,02132,43428,3,2,Overall gives higher priority
Worcester,01605,43392,4,4,No Change
Brookline,02445,43384,2,1,Overall gives higher priority
Dorchester Uphams,02125,43351,4,4,No Change
Worcester,01602,43306,3,3,No Change
Salem,01970,43302,3,3,No Change
Billerica,01821,43044,2,2,No Change
South End,02118,42797,3,3,No Change
Back Bay Downtown,02116,42755,3,2,Overall gives higher priority
Chicopee,01020,42671,3,3,No Change
Lynn,01905,42502,3,3,No Change
Dorchester Uphams,02121,42446,4,4,No Change
Beverly,01915,41731,2,2,No Change
Lowell,01852,41529,4,4,No Change
Shrewsbury,01545,41503,3,2,Overall gives higher priority
Framingham,01701,41449,2,2,No Change
Arlington,02474,40950,2,1,Overall gives higher priority
Chicopee,01013,40698,4,4,No Change
Fall River,02721,40497,4,4,No Change
Holyoke,01040,40376,4,4,No Change
Somerville,02144,40028,1,2,SES gives higher priority
Chelsea,02150,39852,4,4,No Change
Marlborough,01752,39776,3,2,Overall gives higher priority
Randolph,02368,39451,3,3,No Change
Waltham,02452,39250,3,2,Overall gives higher priority
Cambridge,02140,38096,2,2,No Change
Allston Brighton,02134,37679,3,3,No Change
Braintree,02184,37207,2,2,No Change
Dartmouth,02747,36970,3,3,No Change
Lynn,01904,36704,3,3,No Change
Milford,01757,36624,2,2,No Change
Stoughton,02072,36091,2,2,No Change
Natick,01760,36083,1,1,No Change
Worcester,01603,36080,4,4,No Change
Springfield,01109,35903,4,4,No Change
Andover,01810,35609,1,1,No Change
Brookline,02446,35501,2,2,No Change
Gardner,01440,34935,3,3,No Change
Waltham,02453,34866,3,3,No Change
Fall River,02720,34862,4,4,No Change
Brockton,02302,34712,4,4,No Change
Milton,02186,34282,2,2,No Change
Worcester,01607,33913,3,3,No Change
Newton,02459,33575,2,1,Overall gives higher priority
Billerica,01862,33375,2,2,No Change
Haverhill,01830,33373,3,3,No Change
Lowell,01851,33231,4,4,No Change
Springfield,01108,33173,4,4,No Change
Somerville,02143,33041,2,2,No Change
Franklin,02038,33022,1,1,No Change
Marshfield,02050,32718,1,2,SES gives higher priority
Somerville,02145,32698,3,3,No Change
Weymouth,02189,32296,3,3,No Change
Winchester,01890,32289,2,1,Overall gives higher priority
Saugus,01906,31692,3,3,No Change
Raynham,02767,31686,3,3,No Change
Haverhill,01832,31630,3,3,No Change
Dracut,01826,31266,2,3,SES gives higher priority
Springfield,01104,31048,4,4,No Change
Tewksbury,01876,31002,2,2,No Change
Needham,02492,30735,2,1,Overall gives higher priority
Northbridge,01588,30722,2,2,No Change
Walpole,02081,30697,2,1,Overall gives higher priority
Roxbury,02120,30646,4,4,No Change
North Andover,01845,30589,2,2,No Change
Weymouth,02188,30231,3,3,No Change
Gloucester,01930,30049,2,3,SES gives higher priority
Lynnfield,01940,29899,1,2,SES gives higher priority
Norwood,02062,29201,2,2,No Change
Wellesley,02481,29201,1,1,No Change
North Attleborough,02760,29116,2,2,No Change
New Bedford,02746,29092,4,4,No Change
Bourne,02532,29001,2,2,No Change
Arlington,02476,28827,2,1,Overall gives higher priority
New Bedford,02745,28704,3,4,SES gives higher priority
West Springfield,01089,28666,3,3,No Change
Melrose,02176,28116,1,1,No Change
Lexington,02421,27979,2,1,Overall gives higher priority
Quincy,02170,27900,3,3,No Change
Newton,02461,27891,2,1,Overall gives higher priority
Danvers,01923,27631,2,2,No Change
Lexington,02420,27575,2,1,Overall gives higher priority
Burlington,01803,27059,2,2,No Change
Westwood,02090,26990,2,2,No Change
Wakefield,01880,26960,2,2,No Change
Chelmsford,01824,26692,1,1,No Change
Concord,01742,26121,2,1,Overall gives higher priority
Belmont,02478,26043,2,1,Overall gives higher priority
Barnstable,02601,25905,3,3,No Change
Bridgewater,02324,25744,2,3,SES gives higher priority
Newton,02465,25545,2,1,Overall gives higher priority
Newton,02466,25545,2,1,Overall gives higher priority
Agawam,01001,25518,2,3,SES gives higher priority
Lawrence,01843,25454,4,4,No Change
Newton,02460,25431,2,1,Overall gives higher priority
Dedham,02026,25377,2,2,No Change
Sandwich,02563,25302,1,1,No Change
Reading,01867,25100,1,1,No Change
Northampton,01060,24966,3,3,No Change
Wayland,01778,24940,1,1,No Change
Middleborough,02346,24505,2,2,No Change
Fall River,02723,24503,4,4,No Change
Westborough,01581,24498,2,1,Overall gives higher priority
Waltham,02451,24402,2,2,No Change
Easton,02375,24306,2,2,No Change
Grafton,01536,24214,2,2,No Change
Westford,01886,24194,1,1,No Change
Sudbury,01776,24144,1,1,No Change
South Hadley,01075,24096,2,2,No Change
Swampscott,01907,24046,3,2,Overall gives higher priority
Mansfield,02048,23761,2,1,Overall gives higher priority
Westport,02790,23740,2,2,No Change
Wilmington,01887,23658,2,1,Overall gives higher priority
Acton,01720,23561,2,1,Overall gives higher priority
Falmouth,02536,23500,2,2,No Change
Springfield,01105,23476,4,4,No Change
Bedford,01730,23463,2,1,Overall gives higher priority
Weymouth,02190,23367,2,2,No Change
Springfield,01107,23345,4,4,No Change
Hingham,02043,23298,1,1,No Change
Back Bay Downtown,02114,23262,2,2,No Change
Quincy,02171,23249,3,3,No Change
Canton,02021,23134,2,1,Overall gives higher priority
Fall River,02724,22762,4,4,No Change
Newton,02458,22388,2,1,Overall gives higher priority
Monson,01057,22265,2,3,SES gives higher priority
Harvard,01434,22223,2,2,No Change
Stoneham,02180,22144,2,2,No Change
Mashpee,02649,22080,2,2,No Change
Springfield,01119,22076,4,4,No Change
Harwich,02645,22010,2,2,No Change
Longmeadow,01106,21938,2,2,No Change
Greenfield,01301,21819,3,3,No Change
Springfield,01129,21724,3,3,No Change
Ludlow,01056,21336,3,3,No Change
Falmouth,02540,21327,1,2,SES gives higher priority
Uxbridge,01569,21244,2,2,No Change
Wellesley,02482,21140,1,1,No Change
Abington,02351,21043,2,2,No Change
Marblehead,01945,20488,1,1,No Change
Cambridge,02141,20444,2,2,No Change
Back Bay Downtown,02109,20167,3,2,Overall gives higher priority
Hudson,01749,19868,2,2,No Change
Northampton,01062,19693,3,3,No Change
Needham,02494,19664,1,1,No Change
Norton,02766,19634,2,2,No Change
Tyngsborough,01879,19418,2,2,No Change
Charlestown,02129,19414,2,2,No Change
Agawam,01030,19395,2,2,No Change
Dartmouth,02748,19331,2,3,SES gives higher priority
Easton,02356,19218,2,1,Overall gives higher priority
Leicester,01542,19200,2,3,SES gives higher priority
Worcester,01608,19002,4,4,No Change
Holden,01520,18821,1,1,No Change
Walpole,02071,18778,2,2,No Change
Scituate,02066,18591,1,1,No Change
Wareham,02571,18551,3,3,No Change
Winthrop,02152,18535,2,2,No Change
Sharon,02067,18400,1,1,No Change
Back Bay Downtown,02108,18361,3,2,Overall gives higher priority
Pembroke,02359,18304,1,2,SES gives higher priority
Wilbraham,01095,18211,2,2,No Change
Somerset,02726,18207,2,3,SES gives higher priority
Millbury,01527,18070,2,2,No Change
Newburyport,01950,17990,1,1,No Change
Rockland,02370,17909,2,2,No Change
Easthampton,01027,17848,2,2,No Change
Barnstable,02648,17613,1,2,SES gives higher priority
Ashland,01721,17576,1,1,No Change
Foxborough,02035,17535,2,2,No Change
Palmer,01069,17469,3,3,No Change
Amesbury,01913,17378,2,2,No Change
North Attleborough,02763,17335,2,2,No Change
Sandwich,02537,17267,1,1,No Change
Hopkinton,01748,17178,1,1,No Change
Yarmouth,02673,17047,2,3,SES gives higher priority
Bellingham,02019,17016,1,2,SES gives higher priority
Norwell,02061,16984,2,1,Overall gives higher priority
Webster,01570,16971,3,3,No Change
Southbridge,01550,16894,4,4,No Change
Shelburne,01370,16766,2,2,No Change
Douglas,01516,16639,1,2,SES gives higher priority
Auburn,01501,16633,2,2,No Change
Northbridge,01534,16522,2,2,No Change
Swansea,02777,16462,2,2,No Change
North Adams,01247,16337,3,4,SES gives higher priority
Lowell,01850,16267,4,4,No Change
East Longmeadow,01028,16200,2,2,No Change
Taunton,02718,16038,2,2,No Change
Fairhaven,02719,16026,3,3,No Change
Orange,01364,15927,3,3,No Change
Wareham,02538,15895,3,3,No Change
Duxbury,02332,15703,1,1,No Change
Hanson,02341,15677,1,2,SES gives higher priority
North Reading,01864,15642,1,1,No Change
Springfield,01118,15570,3,3,No Change
Grafton,01519,15254,2,2,No Change
Seekonk,02771,15210,2,2,No Change
Lenox,01240,15101,3,2,Overall gives higher priority
South Boston,02210,15052,2,2,No Change
Northborough,01532,14985,1,1,No Change
Barnstable,02632,14979,2,2,No Change
Belchertown,01007,14967,2,2,No Change
Whitman,02382,14961,2,2,No Change
Ashburnham,01430,14935,3,3,No Change
Weymouth,02191,14913,2,2,No Change
Back Bay Downtown,02113,14906,2,2,No Change
Lynn,01901,14897,4,4,No Change
Chelmsford,01863,14727,2,2,No Change
Athol,01331,14662,3,3,No Change
Holliston,01746,14634,1,1,No Change
Holden,01522,14583,2,1,Overall gives higher priority
Great Barrington,01230,14546,2,2,No Change
Hanover,02339,14397,1,1,No Change
East Bridgewater,02333,14386,2,2,No Change
New Bedford,02744,14366,4,4,No Change
Ware,01082,14161,3,3,No Change
West Boylston,01583,14146,2,3,SES gives higher priority
Oxford,01540,13944,2,3,SES gives higher priority
Barnstable,02668,13937,1,2,SES gives higher priority
Lakeville,02347,13918,2,2,No Change
Mendon,01756,13913,1,2,SES gives higher priority
Ipswich,01938,13901,2,2,No Change
Clinton,01510,13899,2,2,No Change
Acushnet,02743,13856,3,3,No Change
Cambridge,02142,13792,3,3,No Change
Newton,02468,13709,1,1,No Change
Dighton,02715,13515,2,2,No Change
Charlton,01507,13482,2,2,No Change
Kingston,02364,13381,2,2,No Change
Medway,02053,13244,1,1,No Change
Haverhill,01835,13166,2,2,No Change
Amherst,01003,13056,3,4,SES gives higher priority
Oak Bluffs,02568,13007,2,2,No Change
Brewster,02631,12912,2,1,Overall gives higher priority
Medfield,02052,12748,1,1,No Change
South End,02111,12697,4,4,No Change
Back Bay Downtown,02110,12630,4,3,Overall gives higher priority
Yarmouth,02664,12574,2,2,No Change
Chicopee,01022,12467,3,3,No Change
Wareham,02576,12206,2,3,SES gives higher priority
Barnstable,02655,12111,1,2,SES gives higher priority
Pepperell,01463,12083,2,2,No Change
Rehoboth,02769,12082,1,1,No Change
