Town,date,population,cum.covid.cases,cum.fullvax.indiv,SVI_SES,age65up.pct,SVI_overall,blacklatinx.pct,VIRratio,vaccine_prev,cumulative_incidence
Abington,2021-04-15,18224.238036758736,1618,4528,0.42780821175687883,0.142312743215455,0.34334214228009313,0.03674219228413962,2.7985166872682323,24.8460319211531,8.878286141436774
Acton,2021-04-15,23727.78039796299,889,6303,0.14587228169570804,0.15985110166086577,0.33909172238874796,0.04711239732731838,7.089988751406074,26.56379945484116,3.7466631311048375
Acushnet,2021-04-15,10449.281569213577,1249,2799,0.6490189376443417,0.19641777688798018,0.662546470842956,0.03443670704950873,2.2409927942353884,26.78653055198182,11.952974869390957
Adams,2021-04-15,8227.435205683578,304,2184,0.676132616361072,0.21743343556287725,0.5196306241184767,0.017298087464977463,7.184210526315789,26.545332116274526,3.69495465354737
Agawam,2021-04-15,28496.16459891718,2502,7220,0.4718281989624385,0.23055070400476468,0.4227385500857213,0.07204981909268021,2.885691446842526,25.33674303760286,8.78012895846016
Amesbury,2021-04-15,16598.02631436651,1033,5175,0.37007689607549776,0.16728279972442145,0.41872763839337096,0.03498676487512947,5.009680542110358,31.17840580551888,6.223631535671692
Amherst,2021-04-15,41492.78186665725,2614,6346,0.7371192930377893,0.10247703397919088,0.5353010584903818,0.12819111671570688,2.42769701606733,15.294226403989354,6.299890926572356
Andover,2021-04-15,36064.04977803766,2642,10419,0.12100089303266029,0.16744722074576085,0.22199195708949984,0.07116178494200905,3.9436033308099923,28.890266246096903,7.325855017006241
Arlington,2021-04-15,45827.14312901441,1804,13232,0.19773934534302132,0.18113491839248558,0.3927953494704559,0.07694863446076151,7.334811529933481,28.873717837371498,3.936531664043091
Ashburnham,2021-04-15,6286.517786211136,386,1440,0.5219787947773686,0.14928344546813135,0.5204444526280549,0.02238925315848393,3.7305699481865284,22.906162822898548,6.140124201138083
Ashby,2021-04-15,3488.025773945333,156,681,0.5058,0.16170677789027685,0.17980000000000002,0.034836702954898914,4.365384615384615,19.5239383001954,4.472444015903792
Ashfield,2021-04-15,1695.371578239734,29,492,0.1597,0.29346034031993873,0.186,0.027066569129480616,16.96551724137931,29.020186861386016,1.71053946947194
Ashland,2021-04-15,19700.45080441501,1485,5082,0.1320693218024579,0.14336551579181273,0.17364379267182523,0.0959262630860264,3.422222222222222,25.796364004325667,7.537898572692566
Athol,2021-04-15,13694.611878222946,741,2966,0.7489480561997,0.17209556646615526,0.6275264220433775,0.0475229769110065,4.002699055330634,21.658153048619855,5.410887191175763
Attleboro,2021-04-15,46517.43530140157,4030,9136,0.5322648656013391,0.15398428801254374,0.5106474278373591,0.10076771123282752,2.266997518610422,19.639947776150787,8.663418294427284
Auburn,2021-04-15,16484.12620219078,1533,4784,0.3598584981662959,0.21063847326108845,0.31426935609932066,0.05800954740467702,3.1206784083496415,29.021859826359467,9.299856002050388
Avon,2021-04-15,4376.191124703058,494,1206,0.5915,0.18836669750291035,0.536,0.18362338241856313,2.4412955465587043,27.558211367695506,11.288355236850398
Ayer,2021-04-15,8098.2221370774805,826,1993,0.2968,0.13140019531240588,0.407,0.09404792579232156,2.4128329297820823,24.610339976661123,10.199769603974957
