ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
25,MASSACHUSETTS,MA,25001,Barnstable,25001990000,"Census Tract 9900, Barnstable County, Massachusetts",0.0,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
25,MASSACHUSETTS,MA,25005,Bristol,25005990000,"Census Tract 9900, Bristol County, Massachusetts",0.0,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
25,MASSACHUSETTS,MA,25009,Essex,25009990100,"Census Tract 9901, Essex County, Massachusetts",0.0,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
25,MASSACHUSETTS,MA,25015,Hampshire,25015820802,"Census Tract 8208.02, Hampshire County, Massachusetts",0.27271349515,1190,232,0,12,0,12,0,12,96,39,3733,1029,0,12,0,12,12,17,34,38,0,17,345,298,0,48,0,17,0,12,0,17,0,12,1190,232,-999.0,-999.0,14.7,5.1,3733.0,1029.0,0.0,100.0,0.0,2.9,1.0,1.4,2.9,2.9,0.0,-999.0,29.0,24.4,0.0,4.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,0.9699,0.9986,0.0,-999.0,-999.0,0.0,0.0075,0.0082,0.0,0.0157,0.0027,0.6302,0.0,0.6302,0.3083,0.0,-999.0,0.0,-999.0,0.9973,-999.0,-999.0,-999.0,-999.0,-999,1,1,0,-999,0,0,0,0,0,0,0,0,0,-999,0,-999,1,-999,-999,22,22,1.8,1.9,2101
25,MASSACHUSETTS,MA,25017,Middlesex,25017980000,"Census Tract 9800, Middlesex County, Massachusetts",1.485655630864,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
25,MASSACHUSETTS,MA,25023,Plymouth,25023525300,"Census Tract 5253, Plymouth County, Massachusetts",2.687095401896,1653,399,3,6,3,6,0,12,0,12,3456,1499,419,118,186,69,10,7,0,12,0,17,799,456,56,55,0,17,0,12,0,17,0,12,1650,398,0.0,100.0,-999.0,-999.0,3456.0,1499.0,26.8,7.9,11.3,4.6,0.6,0.4,0.0,100.0,0.0,566.7,48.3,25.0,3.4,3.3,0.0,566.7,0.0,100.0,0.0,566.7,0.0,100.0,99.8,34.1,0.0,-999.0,0.9993,0.918,-999.0,-999.0,0.2174,0.0048,0.0,0.0,0.2222,0.015,0.8004,0.6104,1.4108,0.7245,0.0,0.0,0.0,0.0,0.9966,0.9966,0.0981,-999.0,-999.0,0,-999,1,1,-999,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-999,0,12,0.0,100.0,3281
25,MASSACHUSETTS,MA,25025,Suffolk,25025980101,"Census Tract 9801.01, Suffolk County, Massachusetts",1.262675548232,405,506,0,12,0,12,305,391,109,185,7677,4907,158,311,8,10,0,12,201,274,0,17,265,534,39,77,0,17,0,12,0,17,0,12,405,506,76.4,16.7,60.6,24.0,7677.0,4907.0,40.1,55.6,2.0,6.4,0.0,3.0,49.6,19.6,0.0,-999.0,65.4,103.5,9.6,15.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,0.9993,1.0,0.9925,0.9829,3.9747,0.9979,0.0116,0.0,0.9986,0.0,1.0102,0.0787,0.8886,0.8414,1.73,0.8749,0.0,-999.0,0.0,-999.0,0.9973,-999.0,-999.0,-999.0,-999.0,1,1,1,1,4,0,0,1,0,1,0,0,0,0,-999,0,-999,1,-999,-999,95,145,23.5,18.6,71
25,MASSACHUSETTS,MA,25025,Suffolk,25025980300,"Census Tract 9803, Suffolk County, Massachusetts",0.803592934294,380,256,0,12,0,12,183,162,20,21,7017,2892,157,128,12,14,11,17,171,198,0,17,229,279,42,67,0,17,0,12,0,17,0,12,380,256,80.6,18.2,24.4,52.4,7017.0,2892.0,44.9,15.5,3.2,4.1,2.9,4.0,73.7,26.2,0.0,-999.0,60.3,61.2,11.2,16.1,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,1.0,0.9945,0.9945,0.9938,3.9828,0.9986,0.0164,0.0185,1.0,0.0,1.0349,0.0807,0.8667,0.864,1.7307,0.8763,0.0,-999.0,0.0,-999.0,0.9973,-999.0,-999.0,-999.0,-999.0,1,1,1,1,4,0,0,1,0,1,0,0,0,0,-999,0,-999,1,-999,-999,22,23,9.5,9.2,465
25,MASSACHUSETTS,MA,25025,Suffolk,25025980700,"Census Tract 9807, Suffolk County, Massachusetts",1.115036321064,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,126
25,MASSACHUSETTS,MA,25025,Suffolk,25025981000,"Census Tract 9810, Suffolk County, Massachusetts",0.438461678322,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,72
