Town,zipcode,eohhs,eohhs_name,town_population
Athol,1331,1,Western,11732
Westfield,1085,1,Western,41204
Shelburne,1370,1,Western,1837
Hinsdale,1235,1,Western,1911
Dartmouth,2747,5,Southeast,34188
Rehoboth,2769,5,Southeast,12385
Williamstown,1267,1,Western,7434
Blandford,1008,1,Western,1252
Amherst,1002,1,Western,39924
Sandisfield,1255,1,Western,891
North Adams,1247,1,Western,12730
Plymouth,2360,5,Southeast,61528
Great Barrington,1230,1,Western,6945
Becket,1223,1,Western,1716
Granville,1034,1,Western,1611
Middleborough,2346,5,Southeast,25463
Petersham,1366,1,Western,1250
Pittsfield,1201,1,Western,42142
Charlemont,1339,1,Western,1233
Colrain,1340,1,Western,1661
Westport,2790,5,Southeast,16034
Belchertown,1007,1,Western,15098
Lanesborough,1237,1,Western,2940
Hubbardston,1452,2,Central,4829
Royalston,1368,1,Western,1277
Easthampton,1027,1,Western,15829
Conway,1341,1,Western,1873
Spencer,1562,2,Central,11935
Sutton,1590,2,Central,9582
Williamsburg,1096,1,Western,2466
Groton,1450,2,Central,11325
Cummington,1026,1,Western,874
Chilmark,2535,5,Southeast,922
West Stockbridge,1266,1,Western,1257
Concord,1742,4,Metro West,18918
New Marlborough,1259,1,Western,1458
Ware,1082,1,Western,9711
Oak Bluffs,2568,5,Southeast,4667
Carver,2330,5,Southeast,11767
Douglas,1516,2,Central,9038
Ashburnham,1430,2,Central,6348
Sheffield,1257,1,Western,3129
Orange,1364,1,Western,7582
Warwick,1378,1,Western,769
Princeton,1541,2,Central,3488
Westminster,1473,2,Central,7997
Nantucket,2554,5,Southeast,11399
Rutland,1543,2,Central,8938
Savoy,1256,1,Western,675
Rochester,2770,5,Southeast,5687
Northfield,1360,1,Western,2958
Bernardston,1337,1,Western,2090
Brimfield,1010,2,Central,3680
Taunton,2780,5,Southeast,57464
Monson,1057,1,Western,8787
Barre,1005,2,Central,5578
Winchendon,1475,2,Central,10905
Charlton,1507,2,Central,13713
Foxborough,2035,4,Metro West,18399
Bolton,1740,2,Central,5426
Southbridge,1550,2,Central,16878
Townsend,1469,2,Central,9506
Templeton,1468,2,Central,8138
Mashpee,2649,5,Southeast,14229
Lee,1238,1,Western,5664
Andover,1810,3,Northeast,36356
Worthington,1098,1,Western,1175
Ipswich,1938,3,Northeast,14074
Wrentham,2093,4,Metro West,12023
Wilbraham,1095,1,Western,14689
Methuen,1844,3,Northeast,50706
Lenox,1240,1,Western,4944
Deerfield,1373,1,Western,4991
Marlborough,1752,4,Metro West,39597
Dudley,1571,2,Central,11773
North Brookfield,1535,2,Central,4792
Harvard,1451,2,Central,6620
Shrewsbury,1545,2,Central,38526
Westborough,1581,4,Metro West,19144
Upton,1568,2,Central,8065
Oakham,1068,2,Central,1957
Dracut,1826,3,Northeast,31634
Norwell,2061,4,Metro West,11153
Oxford,1540,2,Central,14009
Tewksbury,1876,3,Northeast,31178
New Braintree,1531,2,Central,1024
Warren,1083,2,Central,5222
Holden,1520,2,Central,19303
Mansfield,2048,5,Southeast,24470
Wellfleet,2667,5,Southeast,2724
Acton,1720,4,Metro West,23662
Montague,1351,1,Western,8212
Bourne,2542,5,Southeast,19762
Otis,1253,1,Western,1539
Sterling,1564,2,Central,8174
Southwick,1077,1,Western,9740
Westford,1886,3,Northeast,24817
Fitchburg,1420,2,Central,40638
Cheshire,1225,1,Western,3129
Hardwick,1037,2,Central,3057
Uxbridge,1569,2,Central,14195
Norton,2766,5,Southeast,19948
Marshfield,2050,5,Southeast,25967
Huntington,1050,1,Western,2169
Southampton,1073,1,Western,6171
Windsor,1270,1,Western,866
Granby,1033,1,Western,6291
Edgartown,2539,5,Southeast,4348
Bridgewater,2324,5,Southeast,27619
Ludlow,1056,1,Western,21233
Greenfield,1301,1,Western,17258
Sturbridge,1566,2,Central,9597
Wendell,1379,1,Western,878
Hopkinton,1748,4,Metro West,18470
Lunenburg,1462,2,Central,11736
Rowe,1367,1,Western,389
Attleboro,2703,5,Southeast,45237
North Andover,1845,3,Northeast,31188
Ashfield,1330,1,Western,1717
Falmouth,2536,5,Southeast,30993
Gloucester,1930,3,Northeast,30430
Franklin,2038,2,Central,34087
Pembroke,2359,5,Southeast,18509
Pepperell,1463,2,Central,12114
Swansea,2777,5,Southeast,16834
West Brookfield,1585,2,Central,3727
Adams,1220,1,Western,8010
Dartmouth,2748,5,Southeast,34188
Lancaster,1523,2,Central,8082
Leominster,1453,2,Central,41716
Ashby,1431,2,Central,3219
Chester,1011,1,Western,1369
Gardner,1440,2,Central,20683
Duxbury,2332,5,Southeast,15921
Mount Washington,1258,1,Western,157
Monterey,1245,1,Western,924
Brewster,2631,5,Southeast,9775
Shutesbury,1072,1,Western,1754
Sudbury,1776,4,Metro West,19655
Hadley,1035,1,Western,5342
Boxford,1921,3,Northeast,8332
Sharon,2067,4,Metro West,18895
Raynham,2767,5,Southeast,14470
Leverett,1054,1,Western,1837
Truro,2652,5,Southeast,2008
Holbrook,2343,5,Southeast,11033
Rockport,1966,3,Northeast,7282
Clinton,1510,2,Central,14000
Wellesley,2481,4,Metro West,28670
Springfield,1104,1,Western,153606
Yarmouth,2664,5,Southeast,23203
Wareham,2538,5,Southeast,22745
Barnstable,2655,5,Southeast,44477
Worcester,1604,2,Central,185428
Whitman,2382,5,Southeast,15216
Montague,1349,1,Western,8212
Sandwich,2644,5,Southeast,20169
Lexington,2420,4,Metro West,33132
Stoneham,2180,3,Northeast,24126
Winchester,1890,4,Metro West,22799
Revere,2151,6,Boston,53073
Chicopee,1013,1,Western,55126
Waltham,2451,4,Metro West,62495
Worcester,1605,2,Central,185428
Oxford,1537,2,Central,14009
Worcester,1606,2,Central,185428
Holyoke,1040,1,Western,40117
Hingham,2043,4,Metro West,24679
Wakefield,1880,3,Northeast,27045
Weymouth,2190,4,Metro West,57746
Lowell,1852,3,Northeast,110997
Goshen,1032,1,Western,1059
Somerset,2726,5,Southeast,18129
Hatfield,1088,1,Western,3251
Worcester,1602,2,Central,185428
Dennis,2638,5,Southeast,13871
Fall River,2721,5,Southeast,89541
Barnstable,2635,5,Southeast,44477
New Bedford,2740,5,Southeast,95363
Springfield,1109,1,Western,153606
Hopedale,1747,2,Central,5951
Maynard,1754,4,Metro West,11336
Cummington,1026,1,Western,874
Chicopee,1022,1,Western,55126
Newton,2459,4,Metro West,88414
Malden,2148,3,Northeast,60470
Bourne,2559,5,Southeast,19762
Millville,1529,2,Central,3257
Plainfield,1070,1,Western,661
Canton,2021,4,Metro West,23805
Kingston,2364,5,Southeast,13863
Holliston,1746,4,Metro West,14912
Bellingham,2019,2,Central,17270
Boylston,1505,2,Central,4712
Northborough,1532,4,Metro West,15109
Wellesley,2482,4,Metro West,28670
