Town,zipcode,eohhs,eohhs_name,town_population
Athol,01331,1,Western,11732
Westfield,01085,1,Western,41204
Shelburne,01370,1,Western,1837
Hinsdale,01235,1,Western,1911
Dartmouth,02747,5,Southeast,34188
Rehoboth,02769,5,Southeast,12385
Williamstown,01267,1,Western,7434
Blandford,01008,1,Western,1252
Amherst,01002,1,Western,39924
Sandisfield,01255,1,Western,891
North Adams,01247,1,Western,12730
Plymouth,02360,5,Southeast,61528
Great Barrington,01230,1,Western,6945
Becket,01223,1,Western,1716
Granville,01034,1,Western,1611
Middleborough,02346,5,Southeast,25463
Petersham,01366,1,Western,1250
Pittsfield,01201,1,Western,42142
Charlemont,01339,1,Western,1233
Colrain,01340,1,Western,1661
Westport,02790,5,Southeast,16034
Belchertown,01007,1,Western,15098
Lanesborough,01237,1,Western,2940
Hubbardston,01452,2,Central,4829
Royalston,01368,1,Western,1277
Easthampton,01027,1,Western,15829
Conway,01341,1,Western,1873
Spencer,01562,2,Central,11935
Sutton,01590,2,Central,9582
Williamsburg,01096,1,Western,2466
Groton,01450,2,Central,11325
Cummington,01026,1,Western,874
Chilmark,02535,5,Southeast,922
West Stockbridge,01266,1,Western,1257
Concord,01742,4,Metro West,18918
New Marlborough,01259,1,Western,1458
Ware,01082,1,Western,9711
Oak Bluffs,02568,5,Southeast,4667
Carver,02330,5,Southeast,11767
Douglas,01516,2,Central,9038
Ashburnham,01430,2,Central,6348
Sheffield,01257,1,Western,3129
Orange,01364,1,Western,7582
Warwick,01378,1,Western,769
Princeton,01541,2,Central,3488
Westminster,01473,2,Central,7997
Nantucket,02554,5,Southeast,11399
Rutland,01543,2,Central,8938
Savoy,01256,1,Western,675
Rochester,02770,5,Southeast,5687
Northfield,01360,1,Western,2958
Bernardston,01337,1,Western,2090
Brimfield,01010,2,Central,3680
Taunton,02780,5,Southeast,57464
Monson,01057,1,Western,8787
Barre,01005,2,Central,5578
Winchendon,01475,2,Central,10905
Charlton,01507,2,Central,13713
Foxborough,02035,4,Metro West,18399
Bolton,01740,2,Central,5426
Southbridge,01550,2,Central,16878
Townsend,01469,2,Central,9506
Templeton,01468,2,Central,8138
Mashpee,02649,5,Southeast,14229
Lee,01238,1,Western,5664
Andover,01810,3,Northeast,36356
Worthington,01098,1,Western,1175
Ipswich,01938,3,Northeast,14074
Wrentham,02093,4,Metro West,12023
Wilbraham,01095,1,Western,14689
Methuen,01844,3,Northeast,50706
Lenox,01240,1,Western,4944
Deerfield,01373,1,Western,4991
Marlborough,01752,4,Metro West,39597
Dudley,01571,2,Central,11773
North Brookfield,01535,2,Central,4792
Harvard,01451,2,Central,6620
Shrewsbury,01545,2,Central,38526
Westborough,01581,4,Metro West,19144
Upton,01568,2,Central,8065
Oakham,01068,2,Central,1957
Dracut,01826,3,Northeast,31634
Norwell,02061,4,Metro West,11153
Oxford,01540,2,Central,14009
Tewksbury,01876,3,Northeast,31178
New Braintree,01531,2,Central,1024
Warren,01083,2,Central,5222
Holden,01520,2,Central,19303
Mansfield,02048,5,Southeast,24470
Wellfleet,02667,5,Southeast,2724
Acton,01720,4,Metro West,23662
Montague,01351,1,Western,8212
Bourne,02542,5,Southeast,19762
Otis,01253,1,Western,1539
Sterling,01564,2,Central,8174
Southwick,01077,1,Western,9740
Westford,01886,3,Northeast,24817
Fitchburg,01420,2,Central,40638
Cheshire,01225,1,Western,3129
Hardwick,01037,2,Central,3057
Uxbridge,01569,2,Central,14195
Norton,02766,5,Southeast,19948
Marshfield,02050,5,Southeast,25967
Huntington,01050,1,Western,2169
Southampton,01073,1,Western,6171
Windsor,01270,1,Western,866
Granby,01033,1,Western,6291
Edgartown,02539,5,Southeast,4348
Bridgewater,02324,5,Southeast,27619
Ludlow,01056,1,Western,21233
Greenfield,01301,1,Western,17258
Sturbridge,01566,2,Central,9597
Wendell,01379,1,Western,878
Hopkinton,01748,4,Metro West,18470
Lunenburg,01462,2,Central,11736
Rowe,01367,1,Western,389
Attleboro,02703,5,Southeast,45237
North Andover,01845,3,Northeast,31188
Ashfield,01330,1,Western,1717
Falmouth,02536,5,Southeast,30993
Gloucester,01930,3,Northeast,30430
Franklin,02038,2,Central,34087
Pembroke,02359,5,Southeast,18509
Pepperell,01463,2,Central,12114
Swansea,02777,5,Southeast,16834
West Brookfield,01585,2,Central,3727
Adams,01220,1,Western,8010
Dartmouth,02748,5,Southeast,34188
Lancaster,01523,2,Central,8082
Leominster,01453,2,Central,41716
Ashby,01431,2,Central,3219
Chester,01011,1,Western,1369
Gardner,01440,2,Central,20683
Duxbury,02332,5,Southeast,15921
Mount Washington,01258,1,Western,157
Monterey,01245,1,Western,924
Brewster,02631,5,Southeast,9775
Shutesbury,01072,1,Western,1754
Sudbury,01776,4,Metro West,19655
Hadley,01035,1,Western,5342
Boxford,01921,3,Northeast,8332
Sharon,02067,4,Metro West,18895
Raynham,02767,5,Southeast,14470
Leverett,01054,1,Western,1837
Truro,02652,5,Southeast,2008
Holbrook,02343,5,Southeast,11033
Rockport,01966,3,Northeast,7282
Clinton,01510,2,Central,14000
Wellesley,02481,4,Metro West,28670
Springfield,01104,1,Western,153606
Yarmouth,02664,5,Southeast,23203
Wareham,02538,5,Southeast,22745
Barnstable,02655,5,Southeast,44477
Worcester,01604,2,Central,185428
Whitman,02382,5,Southeast,15216
Montague,01349,1,Western,8212
Sandwich,02644,5,Southeast,20169
Lexington,02420,4,Metro West,33132
Stoneham,02180,3,Northeast,24126
Winchester,01890,4,Metro West,22799
Revere,02151,6,Boston,53073
Chicopee,01013,1,Western,55126
Waltham,02451,4,Metro West,62495
Worcester,01605,2,Central,185428
Oxford,01537,2,Central,14009
Worcester,01606,2,Central,185428
Holyoke,01040,1,Western,40117
Hingham,02043,4,Metro West,24679
Wakefield,01880,3,Northeast,27045
Weymouth,02190,4,Metro West,57746
Lowell,01852,3,Northeast,110997
Goshen,01032,1,Western,1059
Somerset,02726,5,Southeast,18129
Hatfield,01088,1,Western,3251
Worcester,01602,2,Central,185428
Dennis,02638,5,Southeast,13871
Fall River,02721,5,Southeast,89541
Barnstable,02635,5,Southeast,44477
New Bedford,02740,5,Southeast,95363
Springfield,01109,1,Western,153606
Hopedale,01747,2,Central,5951
Maynard,01754,4,Metro West,11336
Cummington,01026,1,Western,874
Chicopee,01022,1,Western,55126
Newton,02459,4,Metro West,88414
Malden,02148,3,Northeast,60470
Bourne,02559,5,Southeast,19762
Millville,01529,2,Central,3257
Plainfield,01070,1,Western,661
Canton,02021,4,Metro West,23805
