zipcode,household.income.zip,pop.white.zip,pop.black.zip,pop.asian.zip,pop.latino.zip,household.size.zip,pop.total.zip
01756,132063,5644,9,98,58,2.99,5809
01834,97109,6611,62,15,332,2.85,7020
01840,22092,2462,186,0,4770,2.42,7418
01841,40230,25489,919,705,41390,3.24,68503
01851,57029,13969,1621,13012,3675,2.99,32277
01867,112836,23205,85,1170,696,2.73,25156
01938,90557,13317,155,112,486,2.42,14070
01982,133333,7483,15,411,101,2.95,8010
01062,73954,9314,138,531,1133,2.51,11116
01068,84375,1802,6,4,60,2.73,1872
01071,75491,1223,19,0,23,2.47,1265
01072,78696,1431,16,7,82,2.36,1536
01073,93854,5950,0,125,13,2.56,6088
01075,65898,15988,377,752,1151,2.29,18268
01096,83080,2668,0,12,23,2.48,2703
01223,75852,2253,61,4,110,2.3,2428
01264,66875,186,2,0,16,2.09,204
01342,77202,1265,106,6,78,2.58,1455
01240,72766,4172,113,50,203,1.89,4538
01242,85789,471,0,0,0,2.7,471
01256,60197,648,54,0,17,2.42,719
01267,82863,6521,343,479,560,2.18,7903
01344,61359,1385,34,5,41,2.51,1465
01349,64219,1284,5,0,0,2.79,1289
01355,68250,888,0,4,4,2.34,896
01360,72083,2858,11,5,99,2.41,2973
01420,55277,32831,1565,1433,10658,2.62,46487
01431,101357,3121,7,21,105,2.9,3254
01451,155515,4281,99,151,148,2.92,4679
01473,98714,7580,15,25,261,2.7,7881
01506,68125,3111,43,51,0,2.33,3205
01364,46405,7541,38,49,92,2.42,7720
01379,44531,756,10,13,23,2.14,802
01440,50239,18471,427,328,1884,2.35,21110
01505,98520,4374,12,136,88,2.58,4610
01524,71645,6577,148,42,247,2.58,7014
01529,78704,3161,15,1,35,2.64,3212
01583,79375,6820,374,97,937,2.5,8228
01588,75495,8620,273,155,565,2.73,9613
01609,44943,16210,1602,1459,3502,2.13,22773
01721,121406,14570,445,1808,1241,2.62,18064
01731,97305,1588,33,221,278,3.58,2120
01740,155093,4898,16,227,98,3.1,5239
01741,171625,4485,0,583,84,2.84,5152
01770,180769,3929,20,209,168,2.76,4326
01773,137222,4156,111,370,184,2.23,4821
01775,145967,6514,1,279,201,2.75,6995
01821,103728,28629,853,2642,992,2.87,33116
01843,49443,13415,607,1214,17920,2.95,33156
01863,88542,7816,116,822,423,2.35,9177
01864,126818,14216,208,698,225,2.86,15347
01876,97853,28427,475,1058,508,2.61,30468
01880,95954,24790,337,588,1225,2.48,26940
01940,119876,12328,164,645,331,2.75,13468
01906,80253,25258,836,1395,1691,2.66,29180
01923,84842,25752,467,496,1048,2.51,27763
01929,113469,3675,0,0,20,2.6,3695
01028,88442,14428,738,740,602,2.64,16508
01033,95987,6179,0,18,362,2.54,6559
01037,96302,757,9,3,56,2.64,825
01005,68278,4749,115,39,62,2.65,4965
01027,62772,16548,361,373,793,2.23,18075
01038,66818,2765,13,38,52,2.14,2868
01054,91500,1889,15,39,25,2.52,1968
01084,83750,154,0,0,23,2.29,177
01092,79907,1424,1,0,67,2.63,1492
01103,18338,1316,307,54,1519,1.62,3196
01107,27131,7052,1133,50,9069,3.01,17304
01119,44091,9746,2682,191,3885,2.55,16504
01236,65833,1061,66,0,82,2.37,1209
01245,75167,787,4,3,6,1.87,800
01254,85313,958,10,26,3,2.05,997
01262,31144,921,51,40,38,1.61,1050
01338,60625,114,0,0,0,2.54,114
01368,72083,1159,3,8,0,2.35,1170
01453,58205,34015,2183,1265,7848,2.43,45311
01460,120638,8880,38,605,112,2.75,9635
01462,101510,10485,234,226,665,2.68,11610
01475,71895,10238,104,139,373,2.76,10854
01519,106644,5474,514,338,264,2.72,6590
01532,113608,12815,357,1198,458,2.73,14828
