Town,race.eth,zipcode,OAV_prescribed,COVID_cases50andover
Allston Brighton,Hispanic or Latinx,02134,3,5
Allston Brighton,White,02134,4,8
Allston Brighton,Asian,02135,2,5
Allston Brighton,Hispanic or Latinx,02135,1,5
Allston Brighton,Other or unavailable,02135,0,6
Allston Brighton,White,02135,32,48
Back Bay Downtown,White,02108,37,47
Back Bay Downtown,White,02109,26,50
Back Bay Downtown,White,02110,24,38
Back Bay Downtown,White,02113,18,37
Back Bay Downtown,Asian,02114,12,12
Back Bay Downtown,Black,02114,1,5
Back Bay Downtown,White,02114,52,87
Back Bay Downtown,Asian,02116,3,6
Back Bay Downtown,Hispanic or Latinx,02116,1,5
Back Bay Downtown,Other or unavailable,02116,3,6
Back Bay Downtown,White,02116,127,157
Back Bay Downtown,White,02199,8,10
Charlestown,Asian,02129,2,5
Charlestown,Hispanic or Latinx,02129,3,6
Charlestown,Other or unavailable,02129,1,6
Charlestown,White,02129,83,129
Dorchester Codman,Black,02122,3,11
Dorchester Codman,White,02122,8,14
Dorchester Codman,Black,02124,15,50
Dorchester Codman,Hispanic or Latinx,02124,4,13
Dorchester Codman,White,02124,14,30
Dorchester Uphams,Black,02121,7,26
Dorchester Uphams,Hispanic or Latinx,02121,3,12
Dorchester Uphams,Other or unavailable,02121,1,5
Dorchester Uphams,Black,02125,2,14
Dorchester Uphams,Hispanic or Latinx,02125,4,5
Dorchester Uphams,White,02125,11,22
East Boston,Black,02128,0,5
East Boston,Hispanic or Latinx,02128,5,15
East Boston,Other or unavailable,02128,2,5
East Boston,White,02128,33,75
Fenway,Asian,02115,6,6
Fenway,Black,02115,4,10
Fenway,Hispanic or Latinx,02115,0,8
Fenway,White,02115,22,33
Fenway,White,02215,10,18
Hyde Park,Black,02136,9,61
Hyde Park,Hispanic or Latinx,02136,13,42
Hyde Park,Other or unavailable,02136,0,9
Hyde Park,White,02136,20,79
Jamaica Plain,Asian,02130,5,10
Jamaica Plain,Black,02130,7,20
Jamaica Plain,Hispanic or Latinx,02130,15,48
Jamaica Plain,Other or unavailable,02130,2,9
Jamaica Plain,White,02130,88,173
Mattapan,Black,02126,11,56
Mattapan,Hispanic or Latinx,02126,2,10
Roslindale,Black,02131,5,41
Roslindale,Hispanic or Latinx,02131,7,63
Roslindale,Other or unavailable,02131,2,9
Roslindale,White,02131,40,140
Roxbury,Black,02119,7,38
Roxbury,Hispanic or Latinx,02119,9,24
Roxbury,Other or unavailable,02119,1,11
Roxbury,Hispanic or Latinx,02120,1,9
Roxbury,White,02120,4,7
South Boston,Hispanic or Latinx,02127,3,5
South Boston,White,02127,20,51
South Boston,White,02210,16,22
South End,Asian,02111,3,5
South End,White,02111,16,27
South End,Black,02118,5,7
South End,Hispanic or Latinx,02118,4,6
South End,White,02118,51,68
West Roxbury,Asian,02132,3,11
West Roxbury,Black,02132,1,6
West Roxbury,Hispanic or Latinx,02132,7,22
West Roxbury,Other or unavailable,02132,3,16
West Roxbury,White,02132,100,253
