zipcode,highSES_SVI
01001,0
01002,1
01003,1
01005,0
01007,0
01008,0
01009,0
01010,0
01011,0
01012,0
01013,1
01020,0
01022,0
01026,0
01027,0
01028,0
01029,0
01030,0
01031,0
01032,0
01033,0
01034,0
01035,0
01036,0
01037,0
01038,0
01039,0
01040,1
01050,0
01053,0
01054,0
01056,0
01057,0
01060,0
01062,0
01063,0
01066,0
01068,0
01069,0
01070,0
01071,0
01072,0
01073,0
01074,0
01075,0
01077,0
01079,0
01080,1
01081,0
01082,0
01083,0
01084,0
01085,0
01086,0
01088,0
01089,0
01092,0
01093,0
01094,0
01095,0
01096,0
01097,0
01098,0
01103,1
01104,1
01105,1
01106,0
01107,1
01108,1
01109,1
01118,0
01119,1
01128,0
01129,0
01151,1
01199,1
01201,0
01220,0
01222,0
01223,0
01224,0
01225,0
01226,0
01229,0
01230,0
01235,0
01236,0
01237,0
01238,0
01240,0
01242,0
01243,0
01244,0
01245,0
01247,1
01253,0
01254,0
01255,0
01256,0
01257,0
01258,0
01259,0
01260,0
01262,0
01264,0
01266,0
01267,0
01270,0
01301,0
01330,0
01331,0
01337,0
01338,0
01339,0
01340,0
01341,0
01342,0
01343,0
01344,0
01346,0
01347,0
01349,0
01350,0
01351,0
01354,0
01355,0
01360,0
01364,0
01366,0
01367,0
01368,1
01370,0
01373,0
01375,0
01376,0
01378,0
01379,0
01420,1
01430,0
01431,0
01432,0
01434,0
01436,0
01438,0
01440,0
01450,0
01451,0
01452,0
01453,0
01460,0
01462,0
01463,0
01464,0
01467,0
01468,0
01469,0
01473,0
01474,0
01475,0
01501,0
01503,0
01504,0
01505,0
01506,0
01507,0
01510,0
01515,0
01516,0
01518,0
01519,0
01520,0
01521,0
01522,0
01523,0
01524,0
01525,0
01527,0
01529,0
01531,0
01532,0
01534,0
01535,0
01536,0
01537,0
01540,0
01541,0
01542,0
01543,0
01545,0
01550,1
01560,0
01561,0
01562,0
01564,0
01566,0
01568,0
01569,0
01570,0
01571,0
01581,0
01583,0
01585,0
01588,0
01590,0
01602,0
01603,1
01604,0
01605,1
01606,0
01607,0
01608,1
01609,0
01610,1
01611,0
01612,0
01701,0
01702,0
01718,0
01719,0
01720,0
01721,0
01730,0
01731,0
01740,0
01741,0
01742,0
01745,0
01746,0
01747,0
01748,0
01749,0
01752,0
01754,0
01756,0
01757,0
01760,0
01770,0
01772,0
01773,0
01775,0
01776,0
01778,0
01801,0
01803,0
01810,0
01821,0
01824,0
01826,0
01827,0
01830,0
01832,0
01833,0
01834,0
01835,0
01840,1
01841,1
01843,1
01844,0
01845,0
01850,1
01851,1
01852,1
01854,1
01860,0
01862,0
01863,0
01864,0
01867,0
01876,0
01879,0
01880,0
01886,0
01887,0
01890,0
01901,1
01902,1
01904,0
01905,1
01906,0
01907,0
01908,0
01913,0
01915,0
01921,0
01922,0
01923,0
01929,0
01930,0
01937,0
01938,0
01940,0
01944,0
01945,0
01949,0
01950,0
01951,0
01952,0
01960,0
01966,0
01969,0
01970,0
01982,0
01983,0
01984,0
01985,0
02019,0
02021,0
02025,0
02026,0
02030,0
02032,0
02035,0
02038,0
02043,0
02045,0
02047,0
02048,0
02050,0
02052,0
02053,0
02054,0
02056,0
02061,0
02062,0
02066,0
02067,0
02071,0
02072,0
02081,0
02090,0
02093,0
02108,0
02109,0
02110,0
02111,1
02113,0
02114,0
02115,1
02116,0
02118,1
02119,1
02120,1
02121,1
02122,1
02124,1
02125,1
02126,1
02127,0
02128,1
02129,0
02130,0
02131,0
02132,0
02134,0
02135,0
02136,1
02138,0
02139,0
02140,0
02141,0
02142,0
02143,0
02144,0
02145,0
02148,0
02149,1
02150,1
02151,1
02152,0
02155,0
02163,1
02169,0
02170,0
02171,0
02176,0
02180,0
02184,0
02186,0
02188,0
02189,0
02190,0
02191,0
02199,0
02203,0
02210,0
02215,1
02301,1
02302,1
02322,0
02324,0
02330,0
02332,0
02333,0
02338,0
02339,0
02341,0
02343,0
02346,0
02347,0
02351,0
02356,0
02357,0
02359,0
02360,0
02364,0
02366,0
02367,0
02368,0
02370,0
02375,0
02379,0
02382,0
02420,0
02421,0
02445,0
02446,0
02451,0
02452,0
02453,0
02457,0
02458,0
02459,0
02460,0
02461,0
02462,0
02464,0
02465,0
02466,0
02467,0
02468,0
02472,0
02474,0
02476,0
02478,0
02481,0
02482,0
02492,0
02493,0
02494,0
02532,0
02534,0
02535,0
02536,0
02537,0
02538,0
02539,0
02540,0
02542,0
02543,0
02553,0
02554,0
02556,0
02557,0
02558,0
02559,0
02561,0
02562,0
02563,0
02564,0
02568,0
02571,0
02575,0
02576,0
02584,0
02601,0
02630,0
02631,0
02632,0
02633,0
02635,0
02637,0
02638,0
02639,0
02641,0
02642,0
02643,0
02644,0
02645,0
02646,0
02647,0
02648,0
02649,0
02650,0
02651,0
02652,0
02653,0
02655,0
02657,0
02659,0
02660,0
02663,0
02664,0
02666,0
02667,0
02668,0
02669,0
02670,0
02671,0
02672,0
02673,0
02675,0
02702,0
02703,0
02713,0
02715,0
02717,0
02718,0
02719,0
02720,1
02721,1
02723,1
02724,1
02725,0
02726,0
02738,0
02739,0
02740,1
02743,0
02744,1
02745,1
02746,1
02747,0
02748,0
02760,0
02762,0
02763,0
02764,0
02766,0
02767,0
02769,0
02770,0
02771,0
02777,0
02779,0
02780,0
02790,0
02791,0
02802,0
02804,0
02806,0
02807,0
02808,0
02809,0
02812,0
02813,0
02814,0
02815,0
02816,0
02817,0
02818,0
02822,0
02825,0
02826,0
02827,0
02828,0
02830,0
02831,0
02832,0
02833,0
02835,0
02836,0
02837,0
02838,0
02839,0
02840,0
02841,1
02842,0
02852,0
02857,0
02858,0
02859,0
02860,1
02861,0
02863,1
02864,0
02865,0
02871,0
02872,0
02873,0
02874,0
02875,0
02876,0
02878,0
02879,0
02881,0
02882,0
02885,0
02886,0
02888,0
02889,0
02891,0
02892,0
02893,0
02894,0
02895,1
02896,0
02898,0
02903,1
02904,0
02905,1
02906,0
02907,1
02908,1
02909,1
02910,1
02911,0
02912,0
02914,1
02915,0
02916,0
02917,0
02919,0
02920,0
02921,0
03031,0
03032,0
03033,0
03034,0
03036,0
03037,0
03038,0
03042,0
03043,0
03044,0
03045,0
03046,0
03047,0
03048,0
03049,0
03051,0
03052,0
03053,0
03054,0
03055,0
03057,0
03060,0
03062,0
03063,0
03064,0
03070,0
03071,0
03076,0
03077,0
03079,0
03082,0
03084,0
03086,0
03087,0
03101,1
03102,0
03103,1
03104,0
03106,0
03109,0
03110,0
03215,0
03216,0
03217,0
03218,0
03220,0
03221,0
03222,0
03223,0
03224,0
03225,0
03226,0
03227,0
03229,0
03230,0
03231,0
03233,0
03234,0
03235,0
03237,0
03238,0
03240,0
03241,0
03242,0
03243,0
03244,0
03245,0
03246,0
03249,0
03251,0
03253,0
03254,0
03255,0
03256,0
03257,0
03258,0
03259,0
03260,0
03261,0
03262,0
03263,0
03264,0
03266,0
03268,0
03269,0
03273,0
03275,0
03276,0
03278,0
03279,0
03280,0
03281,0
03282,0
03284,0
03285,0
03287,0
03290,0
03291,0
03293,0
03301,0
03303,0
03304,0
03307,0
03431,0
03440,0
03441,1
03442,0
03443,0
03444,0
03445,0
03446,0
03447,0
03448,0
03449,0
03450,0
03451,0
03452,0
03455,0
03456,0
03457,0
03458,0
03461,0
03462,0
03464,0
03465,0
03466,0
03467,0
03470,0
03561,0
03570,1
03574,0
03575,0
03576,0
03579,0
03580,0
03581,0
03582,1
03583,0
03584,0
03585,0
03586,0
03588,0
03590,1
03592,0
03593,0
03595,0
03597,1
03598,1
03601,0
03602,0
03603,0
03604,0
03605,0
03607,0
03608,0
03609,0
03740,0
03741,0
03743,0
03745,0
03746,0
03748,0
03750,0
03751,0
03752,0
03753,0
03754,0
03755,0
03765,0
03766,0
03768,0
03770,0
03771,0
03773,0
03774,0
03777,0
03779,0
03780,0
03781,0
03782,0
03784,0
03785,0
03801,0
03809,0
03810,0
03811,0
03812,0
03813,0
03814,0
03816,0
03817,0
03818,0
03819,0
03820,0
03823,0
03824,0
03825,0
03826,0
03827,0
03830,0
03832,0
03833,0
03835,0
03836,0
03837,0
03838,0
03839,0
03840,0
03841,0
03842,0
03844,0
03845,0
03846,0
03847,0
03848,0
03849,0
03850,0
03851,0
03852,0
03853,0
03854,0
03855,0
03856,0
03857,0
03858,0
03860,0
03861,0
03862,0
03864,0
03865,0
03867,0
03868,0
03869,0
03870,0
03871,0
03872,0
03873,0
03874,0
03875,0
03878,0
03882,0
03883,0
03884,0
03885,0
03886,0
03887,0
03890,0
03894,0
03901,0
03902,0
03903,0
03904,0
03905,0
03906,0
03907,0
03908,0
03909,0
03910,0
03911,0
04001,0
04002,0
04003,0
04005,0
04006,0
04008,0
04009,0
04010,0
04011,0
04015,0
04017,0
04019,0
04020,1
04021,0
04022,0
04024,0
04027,0
04029,0
04030,0
04032,0
04037,0
04038,0
04039,0
04040,0
04041,1
04042,0
04043,0
04046,0
04047,1
04048,0
04049,0
04050,0
04051,0
04055,0
04056,0
04057,0
04061,0
04062,0
04063,0
04064,0
04066,0
04068,1
04069,0
04071,0
04072,0
04073,0
04074,0
04076,0
04079,0
04083,0
04084,0
04085,0
04086,0
04087,0
04088,0
04090,0
04091,0
04092,0
04093,0
04095,0
04096,0
04097,0
04101,0
04102,0
04103,0
04105,0
04106,0
04107,0
04108,0
04109,0
04110,0
04210,0
04216,0
04217,0
04219,0
04220,0
04221,1
04222,0
04224,1
04226,0
04227,1
04228,1
04231,1
04234,0
04236,0
04237,0
04238,1
04239,0
04240,1
04250,0
04252,0
04253,0
04254,1
04255,1
04256,0
04257,0
04258,0
04259,0
04260,0
04261,0
04263,0
04265,0
04267,0
04268,1
04270,1
04271,1
04274,0
04275,0
04276,1
04280,0
04281,1
04282,0
04284,0
04285,1
04286,0
04287,0
04289,1
04290,0
04292,0
04294,0
04330,0
04342,0
04343,0
04344,0
04345,0
04346,0
04347,0
04348,0
04349,0
04350,0
04351,0
04352,0
04353,0
04354,0
04355,0
04357,0
04358,0
04359,0
04360,0
04363,0
04364,0
04401,0
04406,1
04408,1
04410,1
04411,0
04412,0
04413,1
04414,1
04415,1
04416,0
04417,1
04418,1
04419,0
04421,0
04422,0
04424,1
04426,1
04427,0
04428,0
04429,0
04430,1
04431,0
04434,1
04435,0
04438,0
04441,0
04442,0
04443,1
04444,0
04448,1
04449,1
04450,0
04451,1
04453,1
