zipcode,E_TOTPOP.zip,SVI_SES,SVI_household.disability,SVI_minority.language,SVI_house.transport,SVI_overall,Town,eohhs,eohhs_name,town_population
01001,25518,0.5003226036523238,0.6540278666039658,0.29615372286229324,0.4215569284426679,0.47486429187240375,Agawam,1,Western,28613
01002,44677,0.7043191933209482,0.22908509747744923,0.40704350784519994,0.6007771627459318,0.5284776215950041,Amherst,1,Western,39924
01002,44677,0.7043191933209482,0.22908509747744923,0.40704350784519994,0.6007771627459318,0.5284776215950041,Amherst,1,Western,39924
01002,44677,0.7043191933209482,0.22908509747744923,0.40704350784519994,0.6007771627459318,0.5284776215950041,Pelham,1,Western,1313
01003,13056,0.9616,7.000000000000001e-4,0.3711999999999999,0.7963,0.582,Amherst,1,Western,39924
01005,5539,0.5147,0.3885,0.0328,0.7325,0.4612,Barre,2,Central,5578
01007,14967,0.3436973742232912,0.37513937996926566,0.23336176922562973,0.36062455401884147,0.29143101489944545,Belchertown,1,Western,15098
01008,7129,0.5284,0.3789,0.0807,0.3052,0.3157,Blandford,1,Western,1252
01008,7129,0.5284,0.3789,0.0807,0.3052,0.3157,Blandford,1,Western,1252
01009,2376,0.377,0.8495,0.0786,0.3182,0.383,Palmer,1,Western,12232
01010,3739,0.5113,0.6983999999999999,0.1244,0.4458,0.464,Brimfield,2,Central,3680
01010,3739,0.5113,0.6983999999999999,0.1244,0.4458,0.464,Brimfield,2,Central,3680
01011,10276,0.4826466134682756,0.45472689762553525,0.06057953483845855,0.3541383612300506,0.3243361813935383,Chester,1,Western,1369
01011,10276,0.4826466134682756,0.45472689762553525,0.06057953483845855,0.3541383612300506,0.3243361813935383,Chester,1,Western,1369
01012,1355,0.6662,0.3523,0.0062,0.0624,0.208,Chesterfield,1,Western,1249
01013,40698,0.7926000687994497,0.8050130571526856,0.6543475895621407,0.537970806919259,0.7596108359133127,Chicopee,1,Western,55126
01020,42671,0.7017173279276324,0.763119933912962,0.5462300086709944,0.3806858217524782,0.6531236999367251,Chicopee,1,Western,55126
01022,12467,0.7003710997032165,0.6194149193871822,0.4245043875832197,0.46549380765220183,0.5990459452955803,Chicopee,1,Western,55126
01026,3147,0.379,0.6265,0.015,0.465,0.34389999999999993,Cummington,1,Western,874
01026,3147,0.379,0.6265,0.015,0.465,0.34389999999999993,Cummington,1,Western,874
01027,17848,0.45365714365755266,0.5786526333482743,0.2669185398924249,0.3284099394890184,0.39007504482294936,Easthampton,1,Western,15829
01027,17848,0.45365714365755266,0.5786526333482743,0.2669185398924249,0.3284099394890184,0.39007504482294936,Westhampton,1,Western,1637
01028,16200,0.3271618703703704,0.8145873086419754,0.35294861728395055,0.33419961111111113,0.44385202469135804,East Longmeadow,1,Western,16192
01029,2392,0.5867,0.4911,0.0499,0.6529,0.5038,Otis,1,Western,1539
01030,19395,0.4343381129156999,0.5067232946635731,0.3371259035833978,0.2684113895333849,0.354156715648363,Agawam,1,Western,28613
01031,4323,0.7347,0.7565,0.0643,0.668,0.6596,Hardwick,2,Central,3057
01032,3526,0.4332,0.3755,0.0444,0.3827,0.2876,Goshen,1,Western,1059
01033,6333,0.2947,0.301,0.2112,0.06040000000000001,0.09879999999999999,Granby,1,Western,6291
01034,7129,0.5284,0.3789,0.0807,0.3052,0.3157,Granville,1,Western,1611
01034,7129,0.5284,0.3789,0.0807,0.3052,0.3157,Tolland,1,Western,508
01035,5310,0.2221,0.5479,0.3295,0.8181999999999999,0.4928,Hadley,1,Western,5342
01036,5191,0.525,0.7497,0.0396,0.1379,0.2979,Hampden,1,Western,5177
