ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
01001,25,013,813205,25013813205,3775,1676,13621273,13558082,16769,7557,31865240,29635470,7481,3070,26049127,25885670,22.51,22.18,42.75,45.75,50.46,54.59,52.29,52.38
01001,25,013,813206,25013813206,297,106,492459,457579,16769,7557,31865240,29635470,4042,1658,5792014,5739965,1.77,1.4,1.55,1.54,7.35,6.39,8.5,7.97
01001,25,013,813207,25013813207,4133,1847,4488103,4414513,16769,7557,31865240,29635470,5111,2282,5328453,5254863,24.65,24.44,14.08,14.9,80.86,80.94,84.23,84.01
01001,25,013,813208,25013813208,2918,1218,5090890,3882773,16769,7557,31865240,29635470,2918,1218,5090890,3882773,17.4,16.12,15.98,13.1,100,100,100,100
01001,25,013,813209,25013813209,5646,2710,8172515,7322523,16769,7557,31865240,29635470,5646,2710,8172515,7322523,33.67,35.86,25.65,24.71,100,100,100,100
01002,25,011,040600,25011040600,281,112,8080745,7865871,29049,10388,146836622,142556362,4612,2142,281679823,243702390,0.97,1.08,5.5,5.52,6.09,5.23,2.87,3.23
01002,25,015,820202,25015820202,1321,570,68773770,65038092,29049,10388,146836622,142556362,1321,570,68773770,65038092,4.55,5.49,46.84,45.62,100,100,100,100
01002,25,015,820300,25015820300,6818,2722,18343861,18255915,29049,10388,146836622,142556362,6818,2722,18343861,18255915,23.47,26.2,12.49,12.81,100,100,100,100
01002,25,015,820400,25015820400,1707,144,399993,399993,29049,10388,146836622,142556362,12079,149,2255165,2242377,5.88,1.39,0.27,0.28,14.13,96.64,17.74,17.84
01002,25,015,820500,25015820500,6342,2731,6808276,6805690,29049,10388,146836622,142556362,6342,2731,6808276,6805690,21.83,26.29,4.64,4.77,100,100,100,100
01002,25,015,820600,25015820600,1681,41,1487450,1480853,29049,10388,146836622,142556362,1681,41,1487450,1480853,5.79,0.39,1.01,1.04,100,100,100,100
01002,25,015,820700,25015820700,4509,1812,12787534,12688590,29049,10388,146836622,142556362,4509,1812,12787534,12688590,15.52,17.44,8.71,8.9,100,100,100,100
01002,25,015,820801,25015820801,5232,2255,29453885,29320250,29049,10388,146836622,142556362,5232,2255,29453885,29320250,18.01,21.71,20.06,20.57,100,100,100,100
01002,25,015,820802,25015820802,1158,1,701108,701108,29049,10388,146836622,142556362,1158,1,701108,701108,3.99,0.01,0.48,0.49,100,100,100,100
01003,25,015,820400,25015820400,10372,5,1855172,1842384,10372,5,1855172,1842384,12079,149,2255165,2242377,100,100,100,100,85.87,3.36,82.26,82.16
01005,25,027,722100,25027722100,5079,2044,115253945,114586903,5079,2044,115253945,114586903,5398,2176,115527076,114807655,100,100,100,100,94.09,93.93,99.76,99.81
01007,25,015,820203,25015820203,8507,3530,51837309,51378169,14649,5839,143289852,136345999,8507,3530,51837309,51378169,58.07,60.46,36.18,37.68,100,100,100,100
01007,25,015,820204,25015820204,6142,2309,91452543,84967830,14649,5839,143289852,136345999,6142,2309,91452543,84967830,41.93,39.54,63.82,62.32,100,100,100,100
01008,25,013,813000,25013813000,1263,586,144417560,139331467,1263,586,144417560,139331467,7234,3418,516473939,503467866,100,100,100,100,17.46,17.14,27.96,27.67
01009,25,013,810200,25013810200,741,341,2065025,2065002,741,341,2065025,2065002,2710,1235,18265259,17982525,100,100,100,100,27.34,27.61,11.31,11.48
01010,25,013,813802,25013813802,3609,1598,91403071,89982811,3609,1598,91403071,89982811,3609,1598,91403071,89982811,100,100,100,100,100,100,100,100
01011,25,013,813000,25013813000,1183,568,67933972,67593810,1370,659,82227136,81884563,7234,3418,516473939,503467866,86.35,86.19,82.62,82.55,16.35,16.62,13.15,13.43
01011,25,015,822700,25015822700,187,91,14293164,14290753,1370,659,82227136,81884563,3197,1722,260539813,259169138,13.65,13.81,17.38,17.45,5.85,5.28,5.49,5.51
01012,25,015,822605,25015822605,661,343,34522824,33977749,661,343,34522824,33977749,1222,591,80947276,79916167,100,100,100,100,54.09,58.04,42.65,42.52
01013,25,013,800700,25013800700,0,0,276949,63481,23188,10246,16298932,14567022,4000,1497,1328025,1057147,0,0,1.7,0.44,0,0,20.85,6
01013,25,013,810800,25013810800,1828,1052,1070874,1026704,23188,10246,16298932,14567022,3823,1930,2548423,2472843,7.88,10.27,6.57,7.05,47.82,54.51,42.02,41.52
01013,25,013,810901,25013810901,1948,997,1143570,887705,23188,10246,16298932,14567022,1948,997,1143570,887705,8.4,9.73,7.02,6.09,100,100,100,100
