Day of c_Calendar Date,c_SelectTrend,c_Census Net Difference,c_Census,c_COVID 19+ label %,c_COVID 19+ label,c_dynamictotallabel,t_Census % Difference Label,c_Census Exclude COVID Status
12/01/22,COVID-19,2,136,1,136,,1.5%,
11/30/22,COVID-19,-3,134,1,134,,-2.2%,
11/29/22,COVID-19,6,137,1,137,,4.6%,
11/28/22,COVID-19,12,131,1,131,,10.1%,
11/27/22,COVID-19,13,119,1,119,,12.3%,
11/26/22,COVID-19,8,106,1,106,,8.2%,
11/25/22,COVID-19,-4,98,1,98,,-3.9%,
11/24/22,COVID-19,18,102,1,102,,21.4%,
11/23/22,COVID-19,-1,84,1,84,,-1.2%,
11/22/22,COVID-19,-1,85,1,85,,-1.2%,
11/21/22,COVID-19,-14,86,1,86,,-14.0%,
11/20/22,COVID-19,11,100,1,100,,12.4%,
11/19/22,COVID-19,-9,89,1,89,,-9.2%,
11/18/22,COVID-19,-14,98,1,98,,-12.5%,
11/17/22,COVID-19,4,112,1,112,,3.7%,
11/16/22,COVID-19,2,108,1,108,,1.9%,
11/15/22,COVID-19,-4,106,1,106,,-3.6%,
11/14/22,COVID-19,-1,110,1,110,,-0.9%,
11/13/22,COVID-19,3,111,1,111,,2.8%,
11/12/22,COVID-19,10,108,1,108,,10.2%,
11/11/22,COVID-19,0,98,1,98,,0.0%,
11/10/22,COVID-19,0,98,1,98,,0.0%,
11/09/22,COVID-19,-4,98,1,98,,-3.9%,
11/08/22,COVID-19,4,102,1,102,,4.1%,
11/07/22,COVID-19,-1,98,1,98,,-1.0%,
11/06/22,COVID-19,6,99,1,99,,6.5%,
11/05/22,COVID-19,4,93,1,93,,4.5%,
11/04/22,COVID-19,-16,89,1,89,,-15.2%,
11/03/22,COVID-19,1,105,1,105,,1.0%,
11/02/22,COVID-19,1,104,1,104,,1.0%,
11/01/22,COVID-19,-1,103,1,103,,-1.0%,
10/31/22,COVID-19,-11,104,1,104,,-9.6%,
10/30/22,COVID-19,-2,115,1,115,,-1.7%,
10/29/22,COVID-19,4,117,1,117,,3.5%,
10/28/22,COVID-19,9,113,1,113,,8.7%,
10/27/22,COVID-19,1,104,1,104,,1.0%,
10/26/22,COVID-19,-13,103,1,103,,-11.2%,
10/25/22,COVID-19,-17,116,1,116,,-12.8%,
10/24/22,COVID-19,4,133,1,133,,3.1%,
10/23/22,COVID-19,-7,129,1,129,,-5.1%,
10/22/22,COVID-19,-7,136,1,136,,-4.9%,
10/21/22,COVID-19,-16,143,1,143,,-10.1%,
10/20/22,COVID-19,-4,159,1,159,,-2.5%,
10/19/22,COVID-19,-9,163,1,163,,-5.2%,
10/18/22,COVID-19,-7,172,1,172,,-3.9%,
10/17/22,COVID-19,8,179,1,179,,4.7%,
10/16/22,COVID-19,13,171,1,171,,8.2%,
10/15/22,COVID-19,2,158,1,158,,1.3%,
10/14/22,COVID-19,3,156,1,156,,2.0%,
10/13/22,COVID-19,5,153,1,153,,3.4%,
10/12/22,COVID-19,-9,148,1,148,,-5.7%,
10/11/22,COVID-19,13,157,1,157,,9.0%,
10/10/22,COVID-19,5,144,1,144,,3.6%,
10/09/22,COVID-19,15,139,1,139,,12.1%,
10/08/22,COVID-19,4,124,1,124,,3.3%,
10/07/22,COVID-19,-5,120,1,120,,-4.0%,
10/06/22,COVID-19,1,125,1,125,,0.8%,
10/05/22,COVID-19,10,124,1,124,,8.8%,
10/04/22,COVID-19,-16,114,1,114,,-12.3%,
10/03/22,COVID-19,0,130,1,130,,0.0%,
10/02/22,COVID-19,15,130,1,130,,13.0%,
10/01/22,COVID-19,2,115,1,115,,1.8%,
09/30/22,COVID-19,-12,113,1,113,,-9.6%,
09/29/22,COVID-19,0,125,1,125,,0.0%,
09/28/22,COVID-19,-5,125,1,125,,-3.8%,
09/27/22,COVID-19,11,130,1,130,,9.2%,
09/26/22,COVID-19,5,119,1,119,,4.4%,
09/25/22,COVID-19,5,114,1,114,,4.6%,
09/24/22,COVID-19,1,109,1,109,,0.9%,
09/23/22,COVID-19,-6,108,1,108,,-5.3%,
09/22/22,COVID-19,-4,114,1,114,,-3.4%,
09/21/22,COVID-19,5,118,1,118,,4.4%,
09/20/22,COVID-19,11,113,1,113,,10.8%,
09/19/22,COVID-19,-2,102,1,102,,-1.9%,
09/18/22,COVID-19,4,104,1,104,,4.0%,
09/17/22,COVID-19,-2,100,1,100,,-2.0%,
09/16/22,COVID-19,8,102,1,102,,8.5%,
09/15/22,COVID-19,-1,94,1,94,,-1.1%,
09/14/22,COVID-19,-5,95,1,95,,-5.0%,
